Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
McCabe complexity of 6 for unit handleConfirmDelete(),LOW,RAW,2026-06-04,47,handleConfirmDelete(),src/Components/DashboardPage/AllUsersTable/index.tsx#L82:113,TypeScript,25,6,0
McCabe complexity of 6 for unit useSelectFromSourceGraphicsEffects.ts.useSourcePointHover(any),LOW,RAW,2026-07-14,7,useSelectFromSourceGraphicsEffects.ts.useSourcePointHover(any),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/useSelectFromSourceGraphicsEffects.ts#L101:130,TypeScript,25,6,1
McCabe complexity of 7 for unit Fase3.tsx.Fase3(any),LOW,RAW,2026-06-04,47,Fase3.tsx.Fase3(any),src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/TemplateFlights/Fase3.tsx#L14:86,TypeScript,24,7,1
"McCabe complexity of 6 for unit computeFlightPlanCentroid.ts.computeFlightPlanCentroid(FlightPlanCentroidPoint[],any,any)",LOW,RAW,2026-06-06,45,"computeFlightPlanCentroid.ts.computeFlightPlanCentroid(FlightPlanCentroidPoint[],any,any)",src/helpers/ArcGISHelpers/computeFlightPlanCentroid.ts#L12:41,TypeScript,24,6,3
McCabe complexity of 6 for unit pdfReportTables.ts.addGeneralInfoTable(any),LOW,RAW,2026-07-13,8,pdfReportTables.ts.addGeneralInfoTable(any),src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/pdfReportTables.ts#L32:59,TypeScript,24,6,1
"McCabe complexity of 6 for unit createUser.ts.createUser(Request,Response)",LOW,RAW,2026-06-04,47,"createUser.ts.createUser(Request,Response)",backend/src/routes/users/createUser.ts#L4:30,TypeScript,24,6,2
McCabe complexity of 7 for unit viewPlanStepMapActions.ts.syncYellowGeometryTableGraphics(any),LOW,RAW,2026-07-17,4,viewPlanStepMapActions.ts.syncYellowGeometryTableGraphics(any),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/viewPlanStepMapActions.ts#L17:51,TypeScript,24,7,1
McCabe complexity of 6 for unit processImportedRows(string[]),LOW,RAW,2026-07-04,17,processImportedRows(string[]),src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/ImportVluchtPlan.tsx#L53:67,TypeScript,24,6,1
McCabe complexity of 6 for unit flightPathMetrics.ts.calculateFlightPathMetrics(PlanPathRow),LOW,RAW,2026-07-14,7,flightPathMetrics.ts.calculateFlightPathMetrics(PlanPathRow),src/hooks/flightPathMetrics.ts#L18:41,TypeScript,24,6,1
"McCabe complexity of 6 for unit registerAgent.ts.RequestHandler(any,any)",LOW,RAW,2026-06-04,47,"registerAgent.ts.RequestHandler(any,any)",backend/src/routes/devices-updates/agent/registerAgent.ts#L23:48,TypeScript,23,6,2
McCabe complexity of 7 for unit handleDirectDownload(),LOW,RAW,2026-06-04,47,handleDirectDownload(),src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step3/hooks/useDirectDownload.ts#L21:43,TypeScript,23,7,0
McCabe complexity of 7 for unit utils.ts.fetchWithRetry(any),LOW,RAW,2026-07-13,8,utils.ts.fetchWithRetry(any),src/Components/HomePage/Body/Left/Nabewerking/CreateReport/helpers/useHandleStep2/utils.ts#L3:29,TypeScript,23,7,1
McCabe complexity of 6 for unit loadImages(),LOW,RAW,2026-07-17,4,loadImages(),src/api-hooks/planImages/useEntityPlanImages.ts#L42:66,TypeScript,23,6,0
"McCabe complexity of 7 for unit logoutHandler.ts.RequestHandler(any,any)",LOW,RAW,2026-06-04,47,"logoutHandler.ts.RequestHandler(any,any)",backend/src/routes/auth/authKeycloak/logoutHandler.ts#L4:30,TypeScript,23,7,2
McCabe complexity of 7 for unit handleSubmit(),LOW,RAW,2026-07-04,17,handleSubmit(),src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step3/Buttons.tsx#L47:63,TypeScript,23,7,0
McCabe complexity of 6 for unit updateGeometryPoints.ts.updateGeometryOwnedPoints(any),LOW,RAW,2026-07-04,17,updateGeometryPoints.ts.updateGeometryOwnedPoints(any),backend/src/helpers/queries/geometries/updateGeometryPoints.ts#L10:42,TypeScript,23,6,1
McCabe complexity of 6 for unit useNearestPointClickCore.ts.useNearestPointClick(UseNearestPointClickOptions),LOW,RAW,2026-07-18,3,useNearestPointClickCore.ts.useNearestPointClick(UseNearestPointClickOptions),src/hooks/hover-click-handlers/useNearestPointClickCore.ts#L17:50,TypeScript,23,6,1
McCabe complexity of 6 for unit useWizardPointsFilterHeaderCore.tsx.useWizardPointsFilterHeader(any),LOW,RAW,2026-07-18,3,useWizardPointsFilterHeaderCore.tsx.useWizardPointsFilterHeader(any),src/hooks/points/useWizardPointsFilterHeaderCore.tsx#L3:44,TypeScript,22,6,1
McCabe complexity of 6 for unit useTimesliderSelection.ts.useTimesliderSelectedPlan(any),LOW,RAW,2026-07-04,17,useTimesliderSelection.ts.useTimesliderSelectedPlan(any),src/Components/TimesliderItemDetailPage/useTimesliderSelection.ts#L4:32,TypeScript,22,6,1
